Ano de eleição;Cargo;Cor/raça;Detalhe da situação de candidatura;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nacionalidade;Ocupação;Sigla partido;Situação de candidatura;Situação de totalização;UF;Região
2022;Governador;Branca;Deferido;Casado(a);45 a 49 anos;Masculino;Superior completo;RIO GRANDE DO SUL;Brasileira nata;Advogado;NOVO;Apto;Não eleito;RS;SUL
2022;Governador;Branca;Deferido;Casado(a);45 a 49 anos;Masculino;Superior completo;SANTA CATARINA;Brasileira nata;Professor de Ensino Médio;PSTU;Apto;Não eleito;SC;SUL
2022;Governador;Branca;Deferido;Casado(a);45 a 49 anos;Masculino;Superior completo;SERGIPE;Brasileira nata;Administrador;PSD;Apto;2º turno;SE;NORDESTE
2022;Governador;Branca;Deferido;Casado(a);45 a 49 anos;Masculino;Superior completo;SERGIPE;Brasileira nata;Administrador;PSD;Apto;Eleito;SE;NORDESTE
2022;Governador;Branca;Deferido;Casado(a);45 a 49 anos;Masculino;Superior completo;SÃO PAULO;Brasileira nata;Advogado;PDT;Apto;Não eleito;SP;SUDESTE
2022;Governador;Branca;Deferido;Casado(a);45 a 49 anos;Masculino;Superior completo;SÃO PAULO;Brasileira nata;Advogado;PSDB;Apto;Não eleito;SP;SUDESTE
2022;Governador;Branca;Deferido;Casado(a);45 a 49 anos;Masculino;Superior completo;SÃO PAULO;Brasileira nata;Servidor Público Federal;REPUBLICANOS;Apto;2º turno;SP;SUDESTE
2022;Governador;Branca;Deferido;Casado(a);45 a 49 anos;Masculino;Superior completo;SÃO PAULO;Brasileira nata;Servidor Público Federal;REPUBLICANOS;Apto;Eleito;SP;SUDESTE
2022;Governador;Branca;Deferido;Casado(a);45 a 49 anos;Masculino;Superior completo;TOCANTINS;Brasileira nata;Médico;DC;Apto;Não eleito;TO;NORTE
2022;Governador;Branca;Deferido;Casado(a);45 a 49 anos;Masculino;Superior incompleto;AMAZONAS;Brasileira nata;Deputado;SOLIDARIEDADE;Apto;Não eleito;AM;NORTE
2022;Governador;Branca;Deferido;Casado(a);50 a 54 anos;Feminino;Superior completo;MATO GROSSO;Brasileira nata;Administrador;PV;Apto;Não eleito;MT;CENTRO-OESTE
2022;Governador;Branca;Deferido;Casado(a);50 a 54 anos;Feminino;Superior completo;MATO GROSSO DO SUL;Brasileira nata;Advogado;PT;Apto;Não eleito;MS;CENTRO-OESTE
2022;Governador;Branca;Deferido;Casado(a);50 a 54 anos;Feminino;Superior completo;RIO GRANDE DO NORTE;Brasileira nata;Serventuário de Justiça;PMB;Apto;Não eleito;RN;NORDESTE
2022;Governador;Branca;Deferido;Casado(a);50 a 54 anos;Feminino;Superior incompleto;DISTRITO FEDERAL;Brasileira nata;Senador;PDT;Apto;Não eleito;DF;CENTRO-OESTE
2022;Governador;Branca;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;BAHIA;Brasileira nata;Produtor Agropecuário;PL;Apto;Não eleito;BA;NORDESTE
2022;Governador;Branca;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;MARANHÃO;Brasileira nata;Analista de Sistemas;SOLIDARIEDADE;Apto;Não eleito;MA;NORDESTE
2022;Governador;Branca;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;MATO GROSSO DO SUL;Brasileira nata;Empresário;PSDB;Apto;2º turno;MS;CENTRO-OESTE
2022;Governador;Branca;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;MATO GROSSO DO SUL;Brasileira nata;Empresário;PSDB;Apto;Eleito;MS;CENTRO-OESTE
2022;Governador;Branca;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;PARANÁ;Brasileira nata;Professor de Ensino Fundamental;PSTU;Apto;Não eleito;PR;SUL
2022;Governador;Branca;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;PARAÍBA;Brasileira nata;Senador;MDB;Apto;Não eleito;PB;NORDESTE
2022;Governador;Branca;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;RIO GRANDE DO NORTE;Brasileira nata;Advogado;SOLIDARIEDADE;Apto;Não eleito;RN;NORDESTE
