Ano de eleição;Cargo;Cor/raça;Detalhe da situação de candidatura;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nacionalidade;Ocupação;Sigla partido;Situação de candidatura;Situação de totalização;UF;Região
2022;Vice-governador;Branca;Deferido;Casado(a);45 a 49 anos;Feminino;Superior completo;DISTRITO FEDERAL;Brasileira nata;Deputado;PP;Apto;Eleito;DF;CENTRO-OESTE
2022;Vice-governador;Branca;Deferido;Casado(a);45 a 49 anos;Masculino;Superior completo;RONDÔNIA;Brasileira nata;Administrador;UNIÃO;Apto;Eleito;RO;NORTE
2022;Vice-governador;Branca;Deferido;Casado(a);50 a 54 anos;Feminino;Superior completo;PARÁ;Brasileira nata;Servidor Público Estadual;MDB;Apto;Eleito;PA;NORTE
2022;Vice-governador;Branca;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;SÃO PAULO;Brasileira nata;Administrador;PSD;Apto;Eleito;SP;SUDESTE
2022;Vice-governador;Branca;Deferido;Casado(a);55 a 59 anos;Feminino;Superior completo;SANTA CATARINA;Brasileira nata;Aposentado (Exceto Servidor Público);PL;Apto;Eleito;SC;SUL
2022;Vice-governador;Branca;Deferido;Casado(a);55 a 59 anos;Masculino;Superior completo;MATO GROSSO DO SUL;Brasileira nata;Deputado;PP;Apto;Eleito;MS;CENTRO-OESTE
2022;Vice-governador;Branca;Deferido;Casado(a);55 a 59 anos;Masculino;Superior incompleto;ESPÍRITO SANTO;Brasileira nata;Empresário;PSDB;Apto;Eleito;ES;SUDESTE
2022;Vice-governador;Branca;Deferido;Casado(a);65 a 69 anos;Masculino;Superior completo;PIAUÍ;Brasileira nata;Deputado;MDB;Apto;Eleito;PI;NORDESTE
2022;Vice-governador;Branca;Deferido;Casado(a);80 a 84 anos;Masculino;Superior completo;PARANÁ;Brasileira nata;Empresário;PSD;Apto;Eleito;PR;SUL
2022;Vice-governador;Branca;Deferido;Divorciado(a);35 a 39 anos;Feminino;Superior completo;CEARÁ;Brasileira nata;Outros;MDB;Apto;Eleito;CE;NORDESTE
2022;Vice-governador;Branca;Deferido;Divorciado(a);55 a 59 anos;Masculino;Superior completo;SERGIPE;Brasileira nata;Empresário;PDT;Apto;Eleito;SE;NORDESTE
2022;Vice-governador;Branca;Deferido;Divorciado(a);60 a 64 anos;Masculino;Ensino Fundamental completo;MATO GROSSO;Brasileira nata;Produtor Agropecuário;REPUBLICANOS;Apto;Eleito;MT;CENTRO-OESTE
2022;Vice-governador;Branca;Deferido;Divorciado(a);70 a 74 anos;Masculino;Superior completo;ALAGOAS;Brasileira nata;Engenheiro;PDT;Apto;Eleito;AL;NORDESTE
2022;Vice-governador;Branca;Deferido;Solteiro(a);35 a 39 anos;Masculino;Superior incompleto;RIO DE JANEIRO;Brasileira nata;Deputado;UNIÃO;Apto;Eleito;RJ;SUDESTE
2022;Vice-governador;Branca;Deferido;Viúvo(a);65 a 69 anos;Masculino;Superior completo;TOCANTINS;Brasileira nata;Agricultor;PDT;Apto;Eleito;TO;NORTE
2022;Vice-governador;Parda;Deferido;Casado(a);40 a 44 anos;Masculino;Superior completo;MARANHÃO;Brasileira nata;Professor de Ensino Superior;PT;Apto;Eleito;MA;NORDESTE
2022;Vice-governador;Parda;Deferido;Casado(a);45 a 49 anos;Feminino;Ensino Médio completo;ACRE;Brasileira nata;Senador;PP;Apto;Eleito;AC;NORTE
2022;Vice-governador;Parda;Deferido;Casado(a);45 a 49 anos;Masculino;Superior completo;RORAIMA;Brasileira nata;Engenheiro;REPUBLICANOS;Apto;Eleito;RR;NORTE
2022;Vice-governador;Parda;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;AMAZONAS;Brasileira nata;Advogado;AVANTE;Apto;Eleito;AM;NORTE
2022;Vice-governador;Parda;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;BAHIA;Brasileira nata;Vereador;MDB;Apto;Eleito;BA;NORDESTE
2022;Vice-governador;Parda;Deferido;Solteiro(a);35 a 39 anos;Masculino;Superior completo;AMAPÁ;Brasileira nata;Servidor Público Federal;PDT;Apto;Eleito;AP;NORTE
2022;Vice-presidente;Branca;Deferido;Casado(a);70 a 74 anos;Masculino;Superior completo;BRASIL;Brasileira nata;Médico;PSB;Apto;Eleito;BR;BR
2018;Governador;Branca;Deferido;Casado(a);35 a 39 anos;Masculino;Superior completo;ALAGOAS;Brasileira nata;Governador;MDB;Apto;Eleito;AL;NORDESTE
2018;Governador;Branca;Deferido;Casado(a);35 a 39 anos;Masculino;Superior completo;PARANÁ;Brasileira nata;Empresário;PSD;Apto;Eleito;PR;SUL
2018;Governador;Branca;Deferido;Casado(a);40 a 44 anos;Masculino;Superior completo;ACRE;Brasileira nata;Senador;PP;Apto;Eleito;AC;NORTE
2018;Governador;Branca;Deferido;Casado(a);45 a 49 anos;Masculino;Superior completo;DISTRITO FEDERAL;Brasileira nata;Advogado;MDB;Apto;Eleito;DF;CENTRO-OESTE
2018;Governador;Branca;Deferido;Casado(a);45 a 49 anos;Masculino;Superior completo;PERNAMBUCO;Brasileira nata;Governador;PSB;Apto;Eleito;PE;NORDESTE
